16 .00001700000000000000 .00000050000000000000
32 .00001440000000000000 .00000040000000000000
64 .00001230000000000000 .00000070000000000000
128 .00001750000000000000 .00000080000000000000
256 .00001750000000000000 .00000110000000000000
512 .00002630000000000000 .00000150000000000000
1024 .00004140000000000000 .00000230000000000000
2048 .00011300000000000000 .00000830000000000000
4096 .00022280000000000000 .00001580000000000000
8192 .00045230000000000000 .00003520000000000000
16284 .00088410000000000000 .00007020000000000000
